ID	SLNO	SALIST	SOURCE_CONCEPT	CONCEPTICON_ID	CONCEPTICON_NAME	FORM	TOKENS	BORROWED	TONES	SOURCE	PAGE	DOCULECT	SPEAKER	GLOTTOCODE	NOTES
34	9	lightning..in.sky	lightning (flashing)	1654	LIGHTNING	ʒuan³³ ɲak⁵² paik⁵² hip²¹	ʒ ua n ³³ + ɲ a k ⁵² + p ai k ⁵² + h i p ²¹	0	33 52 52 21	nawsawu2016makyam	155	Khalai	kl2	maky1236	
35	9	lightning..in.sky	lightning (flashing)	1654	LIGHTNING	ruan³³ ɲek⁵² paik⁵² hip³¹	r ua n ³³ + ɲ e k ⁵² + p ai k ⁵² + h i p ³¹	0	33 52 52 31	nawsawu2016makyam	155	Santong	st1	maky1236	
36	9	lightning..in.sky	lightning (flashing)	1654	LIGHTNING	ruan³³ ɲek⁴² peik⁴² hip²¹	r ua n ³³ + ɲ e k ⁴² + p ei k ⁴² + h i p ²¹	0	33 42 42 21	nawsawu2016makyam	155	Santong	st2	maky1236	
37	10	thunder	thunder	3027	THUNDER	ʒuan³³ mɔk⁴⁴	ʒ ua n ³³ + m ɔ k ⁴⁴	0	33 44	nawsawu2016makyam	155	Khalai	kl1	maky1236	
38	10	thunder	thunder	3027	THUNDER	ʒuan³³ mɔk⁵²	ʒ ua n ³³ + m ɔ k ⁵²	0	33 52	nawsawu2016makyam	155	Khalai	kl2	maky1236	
39	10	thunder	thunder	3027	THUNDER	ruan³³ mɔk⁵² kʰyŋ⁴⁴	r ua n ³³ + m ɔ k ⁵² + kʰ y ŋ ⁴⁴	0	33 52 44	nawsawu2016makyam	155	Santong	st1	maky1236	
40	10	thunder	thunder	3027	THUNDER	ruan³³ mɔk⁴²	r ua n ³³ + m ɔ k ⁴²	0	33 42	nawsawu2016makyam	155	Santong	st2	maky1236	
41	11	shadow..of.something	shadow/shade	2275	SHADOW	ʒuan²⁴ kʰap³¹	ʒ ua n ²⁴ + kʰ a p ³¹	0	24 31	nawsawu2016makyam	156	Khalai	kl1	maky1236	
42	11	shadow..of.something	shadow/shade	2275	SHADOW	ʒuan³⁵ kʰap²¹	ʒ ua n ³⁵ + kʰ a p ²¹	0	35 21	nawsawu2016makyam	156	Khalai	kl2	maky1236	
43	11	shadow..of.something	shadow/shade	2275	SHADOW	kʰap³¹ lam⁴⁴	kʰ a p ³¹ + l a m ⁴⁴	0	31 44	nawsawu2016makyam	156	Santong	st1	maky1236	
44	11	shadow..of.something	shadow/shade	2275	SHADOW	kʰap²¹ lam⁴⁴	kʰ a p ²¹ + l a m ⁴⁴	0	21 44	nawsawu2016makyam	156	Santong	st2	maky1236	
45	12	wind	wind	4497	WIND	ʒy³³ na³¹	ʒ y ³³ + n a ³¹	0	33 31	nawsawu2016makyam	156	Khalai	kl1	maky1236	
