NUMBER,ENGLISH,PAGE,CONCEPTICON_ID,CONCEPTICON_GLOSS
238,pestle (for peppers),170,,
239,spoon,170,2782,SPOON
240,plate,170,2112,PALATE
241,firewood,170,1071,FIREWOOD
242,fire,170,1063,FIRE
243,to burn something,170,,
244,to extinguish (fire),170,,
245,ashes,170,126,ASHES
246,smoke,170,2695,SMOKE
247,drum (musical instrument),170,,
248,gong,171,,
249,bow,171,,
250,crossbow,171,,
251,arrow,171,119,ARROW
252,spear,171,2756,SPEAR
253,knife/blade,171,,
254,to hear,171,3596,TO HEAR
255,to listen,171,3692,TO LISTEN
256,to be smelly,171,,
257,to smell (sniff),171,,
258,to see,171,3960,TO SEEM
259,to look at,171,,
260,to weep,171,4098,TO SWEEP
261,to eat,171,3407,TO EAT
262,to swallow,171,4092,TO SWALLOW
263,to be hungry,171,,
264,to be full (after eating),172,,
265,to be thirsty,172,,
266,to drink,172,3395,TO DRINK
267,to be drunk (alcohol),172,,
268,to vomit,172,4184,TO VOMIT
269,to spit,172,4034,TO SPIT
270,to cough,172,3305,TO COUGH
271,to sneeze,172,,
272,to yawn,172,4226,TO YAWN
273,to breathe,172,,
274,to blow (on the fire),172,,
275,to whistle,172,4214,TO WHISTLE
276,to suck (milk),172,,
277,to lick,172,3685,TO LICK
278,to smile,172,4016,TO SMILE
279,to laugh,173,3670,TO LAUGH
280,to speak,173,4031,TO SPEAK
281,to tell about,173,,
282,to shout,173,3988,TO SHOUT
283,to lie/fib,173,,
284,to sing,173,3995,TO SING
285,to think,173,4131,TO THINK
286,to know,173,3664,TO KNOW
287,to forget,173,3491,TO FORGET
288,to choose,173,3265,TO CHOOSE
289,to love,173,,
290,to hate,173,,
291,to be ashamed,173,3095,TO BE ASHAMED
292,to wait,173,4185,TO WAIT
293,to count,173,,
294,to be afraid,173,3091,TO BE AFRAID
295,to be angry,173,,
296,to sleep,174,,
297,to snore,174,4021,TO SNORE
298,to dream,174,,
299,to get up (from bed),174,,
300,to be hurt (after hitting finger with hammer),174,,
301,medicine,174,,
302,to be itchy,174,,
303,to scratch oneself,174,,
304,to shiver,174,,
305,to die,174,3355,TO DIE
306,ghost,174,,
307,to sit (remain),174,,
308,to stand (remain),174,,
309,to kneel,175,,
310,to walk,175,,
311,to crawl on belly (like a snake),175,,
312,to go,175,,
313,to come,175,3277,TO COME
314,to return,175,,
315,to run,175,3939,TO RUN
316,to ascend,175,,
317,to descend,175,,
318,to enter (house),175,,
319,to go out/exit (house),175,,
320,to push,175,3861,TO PUSH
321,to pull,175,,
322,to kick,175,3656,TO KICK
323,to throw,175,4134,TO THROW
324,to fall (from a height),176,,
325,to swim,176,4100,TO SWIM
326,to float,176,3475,TO FLOAT
327,to submerge something,176,,
328,to flow (river),176,,
329,to give,176,3530,TO GIVE
330,to tie (something),176,,
331,to wipe,176,4216,TO WIPE
332,to rub/scrub,176,,
333,to wash (hands),176,,
334,to wash (clothes),176,4194,TO WASH (CLOTHES)
335,to bathe,176,,
336,to hit/beat (with force),176,,
337,to split,176,4034,TO SPIT
338,to slice/saw,176,,
339,to cut (hair),177,,
340,to stab,177,,
341,to plant,177,,
342,to dig (with a tool),177,,
343,to bury (a corpse),177,,
344,to work,177,,
345,to play,177,3801,TO PAY
346,to dance,177,3327,TO DANCE
347,to shoot (gun),177,,
348,to hunt,177,3614,TO HUNT
349,to kill,177,3658,TO KILL
350,to fight (hand-to- hand),177,,
351,to buy,177,3228,TO BUY
352,to sell,177,3962,TO SELL
353,to exchange,177,,
354,to pay,178,3801,TO PAY
355,to steal,178,4058,TO STEAL
356,to hide oneself,178,,
357,one (person),178,,
358,two (persons),178,,
359,three (persons),178,,
360,four (persons),178,,
361,five (persons),178,,
362,six (persons),178,,
363,seven (persons),178,,
364,eight (persons),178,,
365,nine (persons),178,,
366,ten (persons),178,,
367,twenty (persons),178,,
368,hundred (persons),178,,
369,thousand (persons),178,,
370,to be many (people),179,,
371,all,179,,
372,some (people),179,,
373,to be few (people),179,,
374,half (quantity),179,,
375,to be big,179,,
376,to be small,179,,
377,to be long,179,,
378,to be short (length),179,,
379,to be tall,179,,
380,to be short (height),179,,
381,to be thick (thing),179,,
382,to be thin (thing),179,,
383,to be fat (person),179,,
384,to be skinny (person),179,,
385,to be wide/broad,180,,
386,to be narrow,180,,
387,to be deep,180,,
388,to be shallow,180,,
389,to be round,180,,
390,to be full (container),180,,
391,right side,180,2413,RIGHT SIDE
392,left side,180,,
393,to be straight (road),180,,
394,to be far (village many miles away),180,,
395,to be near (village very near),180,,
396,this,180,,
397,that,180,,
398,black,181,293,BLACK
399,white,181,4471,WHITE
400,red,181,2375,RED
401,green,181,1271,GREEN
402,yellow,181,4544,YELLOW
403,to be dirty (clothes),181,,
404,to be new (things),181,,
405,to be old (things),181,,
406,to be dark (outside),181,,
407,to shine (flashlight),181,,
408,to be the same,181,,
409,to be sweet,181,,
410,to be sour,181,,
411,to be bitter,181,,
412,to be spicy,181,,
413,to be rotten,182,,
414,to be swollen,182,,
415,to be dry (rice),182,,
416,to be wet (with water),182,,
417,to be sharp,182,,
418,to be blunt,182,,
419,to be heavy,182,,
420,to be light,182,,
421,to be hard (rock),182,,
422,to be soft (cotton),182,,
423,to be smooth (road),182,,
424,to be rough (road),182,,
425,to be fast,182,,
426,to be slow,182,,
427,to be strong,182,,
428,to be weak,183,,
429,to be tired,183,3146,TO BE TIED
430,"to be ill, sick",183,,
431,to be blind,183,,
432,to be deaf,183,,
433,bald,183,187,BALD
434,to be good,183,,
435,to be bad,183,,
436,to be correct,183,,
437,to be wrong,183,,
438,when (past),183,,
439,when (future),183,,
440,where,183,,
441,who,183,,
442,what,183,,
443,how many (persons),183,,
444,I (1s),184,,
445,you (2s),184,,
446,he/she (3s),184,,
447,we (1p),184,,
448,you (2p),184,,
449,they (3p),184,,
450,to take,184,4106,TO TAKE
451,to put/place,184,,
452,to be lost or disappear,184,,
453,to bend,184,3176,TO BEND
454,to lift,184,,
455,to do/make (something),184,,
456,don’t do it,184,,
457,to be difficult,184,,
458,to be easy,185,,
459,to be loose,185,,
460,to be tight,185,,
461,"to set free, let go (animal)",185,,
462,to squeeze,185,4044,TO SQUEEZE
463,body,185,323,BODY
464,eyelash,185,980,EYELASH
465,lip,185,1682,LIP
466,molar tooth,185,1870,MOLAR (TOOTH)
467,jaw,185,1549,JAW
468,throat,185,3024,THROAT
469,"voice box, larynx, Adam’s apple",185,,
470,chest,185,,
471,breast,185,364,BREAST
472,waist,185,4414,WAIST
473,umbilical cord,186,,
474,womb,186,4519,WOMB
475,buttock,186,420,BUTTOCK
476,wrist,186,4535,WRIST
477,fist,186,1081,FIST
478,thumb,186,3026,THUMB
479,knuckle (B-joint),186,,
480,hip,186,,
481,ankle,186,88,ANKLE
482,sole (of foot),186,,
483,toe,186,,
484,bone marrow,186,329,BONE MARROW
485,skeleton,186,2661,SKELETON
486,skull,186,2668,SKULL
487,breastbone,186,,
488,"spine, backbone",186,,
489,kidney,186,1581,KIDNEY
490,lung,187,1730,LUNG
491,bladder,187,,
492,muscle,187,1925,MUSCLE
493,tendon,187,2985,TENDON
494,vein,187,,
495,breath,187,,
496,phlegm,187,,
497,"nasal mucus, snot",187,,
498,earwax,187,,
499,tears (n),187,,
500,"bile, gall",187,272,"BILE, GALL"
501,blink,187,,
502,wink (eye),187,,
503,blow nose,187,,
504,pant,187,,
505,belch,187,,
506,hiccough (n),188,,
