ID,Name,Description,ColumnSpec,Concepticon_ID,Concepticon_Name
spit (noun),spit (noun),,,1503,SALIVA
tooth,tooth,,,4242,TOOTH
gums,gums,,,139,GUMS
chin,chin,,,528,CHIN
beard,beard,,,224,BEARD
to shave (beard),to shave (beard),,,231,SHAVE
neck,neck,,,1962,NECK
shoulder,shoulder,,,2618,SHOULDER
back,back,,,1291,BACK
belly,belly,,,1251,BELLY
navel,navel,,,1958,NAVEL
heart,heart,,,1343,HEART
liver,liver,,,1694,LIVER
intestines,intestines,,,1991,INTESTINES
arm,arm,,,113,ARM
elbow,elbow,,,899,ELBOW
armpit,armpit,,,115,ARMPIT
palm,palm,,,1183,PALM OF HAND
finger,finger,,,1303,FINGER
fingernail,fingernail,,,1258,FINGERNAIL
leg,leg,,,1297,LEG
thigh,thigh,,,800,THIGH
knee,knee,,,1591,KNEE
calf,calf,,,498,CALF OF LEG
shin,shin,,,2600,SHIN
heel,heel,,,980,HEEL
bone,bone,,,328,BONE
joint,joint,,,999,JOINT
marrow,marrow,,,119,ARROW
rib,rib,,,2404,RIB
meat/flesh (edible),meat/flesh (edible),,,634,MEAT
fat/grease,fat/grease,,,2551,ORGANIC FAT OR OIL
skin,skin,,,763,SKIN
blood,blood,,,313,BLOOD
sweat,sweat,,,2922,SWEAT
pus,pus,,,2320,PUS
excrement,excrement,,,675,FAECES (EXCREMENT)
urine,urine,,,4361,URINE
man,man,,,1554,MAN
woman,woman,,,4411,WOMAN
person,person,,,683,PERSON
father,father,,,1019,FATHER
mother,mother,,,1898,MOTHER
to be old (person),to be old (person),,,565,OLD (OF MAN)
child (young person),child (young person),,,521,CHILD (YOUNG PERSON)
son (one’s own male child),son (one’s own male child),,,1620,SON
son-in-law,son-in-law,,,1056,SON-IN-LAW
husband,husband,,,1449,HUSBAND
wife,wife,,,4482,WIFE
widow,widow,,,4480,WIDOW
brother (elder of father),brother (elder of father),,,2173,PATERNAL UNCLE (FATHER'S OLDER BROTHER)
brother (elder of mother),brother (elder of mother),,,3249,MATERNAL UNCLE (MOTHER'S OLDER BROTHER)
sister (elder of father),sister (elder of father),,,3041,PATERNAL AUNT (FATHER'S OLDER SISTER)
sister (elder of mother),sister (elder of mother),,,3042,MATERNAL AUNT (MOTHER'S OLDER SISTER)
brother (younger of father),brother (younger of father),,,2174,PATERNAL UNCLE (FATHER'S YOUNGER BROTHER)
