ID,Language_ID,Parameter_ID,Form,Segments,Comment,Source,SLNO,Borrowed,Tones,Page,Speaker,Notes
40,Santong,thunder,ruan³³ mɔk⁴²,r ua n ³³ + m ɔ k ⁴²,,nawsawu2016makyam,10,false,33 42,155,st2,
41,Khalai,shadow/shade,ʒuan²⁴ kʰap³¹,ʒ ua n ²⁴ + kʰ a p ³¹,,nawsawu2016makyam,11,false,24 31,156,kl1,
42,Khalai,shadow/shade,ʒuan³⁵ kʰap²¹,ʒ ua n ³⁵ + kʰ a p ²¹,,nawsawu2016makyam,11,false,35 21,156,kl2,
43,Santong,shadow/shade,kʰap³¹ lam⁴⁴,kʰ a p ³¹ + l a m ⁴⁴,,nawsawu2016makyam,11,false,31 44,156,st1,
44,Santong,shadow/shade,kʰap²¹ lam⁴⁴,kʰ a p ²¹ + l a m ⁴⁴,,nawsawu2016makyam,11,false,21 44,156,st2,
45,Khalai,wind,ʒy³³ na³¹,ʒ y ³³ + n a ³¹,,nawsawu2016makyam,12,false,33 31,156,kl1,
46,Khalai,wind,ʒy³³ na²¹,ʒ y ³³ + n a ²¹,,nawsawu2016makyam,12,false,33 21,156,kl2,
47,Santong,wind,zy³³ na³¹,z y ³³ + n a ³¹,,nawsawu2016makyam,12,false,33 31,156,st1,
48,Santong,wind,ʒy³³ na²¹,ʒ y ³³ + n a ²¹,,nawsawu2016makyam,12,false,33 21,156,st2,
49,Khalai,night,ʒuan³³ ʒi³³,ʒ ua n ³³ + ʒ i ³³,,nawsawu2016makyam,13,false,33 33,156,kl1,
50,Khalai,night,ʒuan³³ ʒi⁴⁴,ʒ ua n ³³ + ʒ i ⁴⁴,,nawsawu2016makyam,13,false,33 44,156,kl2,
51,Santong,night,ruan³³ ri⁴⁴,r ua n ³³ + r i ⁴⁴,,nawsawu2016makyam,13,false,33 44,156,st1,
52,Santong,night,ruan³³ ri⁴⁴,r ua n ³³ + r i ⁴⁴,,nawsawu2016makyam,13,false,33 44,156,st2,
53,Khalai,day,ʒuan³³ ɲɛ³³,ʒ ua n ³³ + ɲ ɛ ³³,,nawsawu2016makyam,14,false,33 33,156,kl1,
54,Khalai,day,ʒuan³³ ɲu⁵²,ʒ ua n ³³ + ɲ u ⁵²,,nawsawu2016makyam,14,false,33 52,156,kl2,
55,Santong,day,ruan³³ ŋia⁴⁴,r ua n ³³ + ŋ ia ⁴⁴,,nawsawu2016makyam,14,false,33 44,156,st1,
56,Santong,day,ruan³³ ŋia⁴⁴,r ua n ³³ + ŋ ia ⁴⁴,,nawsawu2016makyam,14,false,33 44,156,st2,
57,Khalai,morning,vuat³¹ pi³³,v ua t ³¹ + p i ³³,,nawsawu2016makyam,15,false,31 33,156,kl1,
58,Khalai,morning,wat²¹ pi³³,w a t ²¹ + p i ³³,,nawsawu2016makyam,15,false,21 33,156,kl2,
59,Santong,morning,vuat³¹ pi³³,v ua t ³¹ + p i ³³,,nawsawu2016makyam,15,false,31 33,156,st1,
60,Santong,morning,wat²¹ pi³³,w a t ²¹ + p i ³³,,nawsawu2016makyam,15,false,21 33,156,st2,
61,Khalai,noon,ɲɛt⁵²,ɲ ɛ t ⁵²,,nawsawu2016makyam,16,false,52,156,kl1,
62,Khalai,noon,ɲɛt⁵²,ɲ ɛ t ⁵²,,nawsawu2016makyam,16,false,52,156,kl2,
63,Santong,noon,ɲɛk⁵²,ɲ ɛ k ⁵²,,nawsawu2016makyam,16,false,52,156,st1,
64,Santong,noon,ɲɛk⁴²,ɲ ɛ k ⁴²,,nawsawu2016makyam,16,false,42,156,st2,
65,Khalai,yesterday,kʰə³¹ zi³³,kʰ ə ³¹ + z i ³³,,nawsawu2016makyam,17,false,31 33,156,kl1,
66,Khalai,yesterday,kʰə²¹ zi³³,kʰ ə ²¹ + z i ³³,,nawsawu2016makyam,17,false,21 33,156,kl2,
67,Santong,yesterday,kʰə³¹ ri³³,kʰ ə ³¹ + r i ³³,,nawsawu2016makyam,17,false,31 33,156,st1,
68,Santong,yesterday,kʰə²¹ ri³³,kʰ ə ²¹ + r i ³³,,nawsawu2016makyam,17,false,21 33,156,st2,
69,Khalai,tomorrow,vuat³³,v ua t ³³,,nawsawu2016makyam,18,false,33,156,kl1,
70,Khalai,tomorrow,vuat⁵²,v ua t ⁵²,,nawsawu2016makyam,18,false,52,156,kl2,
71,Santong,tomorrow,wuɛ²⁴ pi³¹,w uɛ ²⁴ + p i ³¹,,nawsawu2016makyam,18,false,24 31,156,st1,
72,Santong,tomorrow,vuɛ³⁵ pi²¹,v uɛ ³⁵ + p i ²¹,,nawsawu2016makyam,18,false,35 21,156,st2,
73,Khalai,year,nuan³³,n ua n ³³,,nawsawu2016makyam,19,false,33,156,kl1,
74,Khalai,year,nuan³³,n ua n ³³,,nawsawu2016makyam,19,false,33,156,kl2,
75,Santong,year,nuan³³,n ua n ³³,,nawsawu2016makyam,19,false,33,156,st1,
76,Santong,year,nuan³³,n ua n ³³,,nawsawu2016makyam,19,false,33,156,st2,
